sp:-2.41, pv:-2.63, o:-15.76, s:70.00
sp:-2.41, pv:-2.64, o:-13.09, s:68.00
sp:-2.41, pv:-2.63, o:-9.88, s:64.00
sp:-2.41, pv:-2.58, o:-2.66, s:57.00
sp:-2.41, pv:-2.58, o:-9.02, s:64.00
sp:-2.41, pv:-2.45, o:13.63, s:68.00
sp:-2.41, pv:-2.37, o:10.99, s:65.00
sp:-2.41, pv:-2.33, o:7.78, s:62.00
sp:-2.41, pv:-2.38, o:-4.67, s:59.00
sp:-2.41, pv:-2.37, o:2.19, s:57.00
sp:-2.41, pv:-2.40, o:-3.33, s:58.00
sp:-2.41, pv:-2.40, o:0.06, s:56.00
sp:-2.41, pv:-2.36, o:6.75, s:61.00
sp:-2.41, pv:-2.39, o:-2.45, s:57.00
sp:-2.41, pv:-2.42, o:-5.48, s:60.00
sp:-2.41, pv:-2.46, o:-7.88, s:62.00
sp:-2.41, pv:-2.49, o:-7.40, s:62.00
sp:-2.41, pv:-2.49, o:-4.34, s:59.00
sp:-2.41, pv:-2.52, o:-10.37, s:65.00
sp:-2.41, pv:-2.52, o:-6.27, s:61.00
sp:-2.41, pv:-2.55, o:-10.65, s:65.00
sp:-2.41, pv:-2.55, o:-8.28, s:63.00
sp:-2.41, pv:-2.56, o:-10.26, s:65.00
sp:-2.41, pv:-2.53, o:-2.54, s:57.00
sp:-2.41, pv:-2.53, o:-7.10, s:62.00
sp:-2.41, pv:-2.50, o:-1.94, s:56.00
sp:-2.41, pv:-2.37, o:16.00, s:71.00
sp:-2.41, pv:-2.32, o:9.39, s:64.00
sp:-2.41, pv:-2.30, o:7.13, s:62.00
sp:-2.41, pv:-2.37, o:-8.41, s:63.00
sp:-2.41, pv:-2.36, o:3.82, s:58.00
sp:-2.41, pv:-2.36, o:1.66, s:56.00
sp:-2.41, pv:-2.38, o:-2.29, s:57.00
sp:-2.41, pv:-2.38, o:-0.31, s:56.00
sp:-2.41, pv:-2.40, o:-2.88, s:57.00
sp:-2.41, pv:-2.43, o:-5.72, s:60.00
sp:-2.41, pv:-2.43, o:-1.81, s:56.00
sp:-2.41, pv:-2.43, o:-2.75, s:57.00
sp:-2.41, pv:-2.43, o:-2.24, s:57.00
sp:-2.41, pv:-2.45, o:-5.57, s:60.00
sp:-2.41, pv:-2.46, o:-4.86, s:59.00
sp:-2.41, pv:-2.46, o:-4.26, s:59.00
sp:-2.41, pv:-2.45, o:-1.03, s:56.00
sp:-2.41, pv:-2.36, o:12.92, s:67.00
sp:-2.41, pv:-2.36, o:1.64, s:56.00
sp:-2.41, pv:-2.28, o:14.31, s:69.00
sp:-2.41, pv:-2.28, o:5.50, s:60.00
sp:-2.41, pv:-2.35, o:-6.22, s:61.00
sp:-2.41, pv:-2.36, o:1.47, s:56.00
sp:-2.41, pv:-2.39, o:-3.45, s:58.00
sp:-2.41, pv:-2.38, o:2.61, s:57.00
sp:-2.41, pv:-2.38, o:1.11, s:56.00
sp:-2.41, pv:-2.40, o:-3.71, s:58.00
sp:-2.41, pv:-2.40, o:-0.02, s:56.00
sp:-2.41, pv:-2.42, o:-3.74, s:58.00
sp:-2.41, pv:-2.43, o:-3.25, s:58.00
sp:-2.41, pv:-2.43, o:-0.47, s:56.00
sp:-2.41, pv:-2.42, o:0.09, s:56.00
sp:-2.41, pv:-2.42, o:-0.99, s:56.00
sp:-2.41, pv:-2.42, o:-1.90, s:56.00
sp:-2.41, pv:-2.41, o:0.63, s:56.00
sp:-2.41, pv:-2.41, o:-1.20, s:56.00
sp:-2.41, pv:-2.41, o:-0.86, s:56.00
sp:-2.41, pv:-2.43, o:-3.97, s:58.00
sp:-2.41, pv:-2.43, o:-1.77, s:56.00
sp:-2.41, pv:-2.41, o:1.43, s:56.00
sp:-2.41, pv:-2.41, o:-0.85, s:56.00
sp:-2.41, pv:-2.32, o:15.29, s:70.00
sp:-2.42, pv:-2.32, o:4.38, s:59.00
sp:-2.42, pv:-2.29, o:9.57, s:64.00
sp:-2.42, pv:-2.33, o:-0.67, s:56.00
sp:-2.42, pv:-2.33, o:3.97, s:58.00
sp:-2.42, pv:-2.33, o:3.10, s:58.00
sp:-2.42, pv:-2.35, o:0.06, s:56.00
sp:-2.42, pv:-2.36, o:1.07, s:56.00
sp:-2.42, pv:-2.35, o:3.83, s:58.00
sp:-2.42, pv:-2.36, o:1.82, s:56.00
sp:-2.42, pv:-2.33, o:7.32, s:62.00
sp:-2.42, pv:-2.33, o:3.97, s:58.00
sp:-2.42, pv:-2.37, o:-2.30, s:57.00
sp:-2.42, pv:-2.40, o:-3.32, s:58.00
sp:-2.42, pv:-2.50, o:-16.88, s:71.00
sp:-2.41, pv:-2.51, o:-6.83, s:61.00
sp:-2.41, pv:-2.53, o:-8.17, s:63.00
sp:-2.41, pv:-2.53, o:-6.17, s:61.00
sp:-2.41, pv:-2.54, o:-7.58, s:62.00
sp:-2.41, pv:-2.54, o:-6.70, s:61.00
sp:-2.41, pv:-2.57, o:-13.58, s:68.00
sp:-2.41, pv:-2.53, o:-1.92, s:56.00
sp:-2.41, pv:-2.50, o:-1.34, s:56.00
sp:-2.41, pv:-2.41, o:10.69, s:65.00
sp:-2.41, pv:-2.41, o:-0.67, s:56.00
sp:-2.41, pv:-2.33, o:13.76, s:68.00
sp:-2.42, pv:-2.27, o:13.28, s:68.00
sp:-2.42, pv:-2.27, o:7.58, s:62.00
sp:-2.42, pv:-2.31, o:0.17, s:56.00
sp:-2.42, pv:-2.30, o:6.52, s:61.00
sp:-2.42, pv:-2.31, o:4.12, s:59.00
sp:-2.42, pv:-2.31, o:5.22, s:60.00
sp:-2.42, pv:-2.29, o:7.78, s:62.00
sp:-2.42, pv:-2.29, o:7.21, s:62.00
sp:-2.42, pv:-2.31, o:2.70, s:57.00
sp:-2.42, pv:-2.38, o:-7.23, s:62.00
sp:-2.42, pv:-2.43, o:-7.08, s:62.00
sp:-2.42, pv:-2.48, o:-9.65, s:64.00
sp:-2.42, pv:-2.48, o:-3.35, s:58.00
sp:-2.42, pv:-2.45, o:1.96, s:56.00
sp:-2.42, pv:-2.45, o:-1.03, s:56.00
sp:-2.42, pv:-2.42, o:2.38, s:57.00
sp:-2.42, pv:-2.43, o:-1.54, s:56.00
sp:-2.42, pv:-2.42, o:0.75, s:56.00
sp:-2.42, pv:-2.42, o:-0.35, s:56.00
sp:-2.42, pv:-2.39, o:4.56, s:59.00
sp:-2.42, pv:-2.39, o:1.08, s:56.00
sp:-2.42, pv:-2.35, o:9.16, s:64.00
sp:-2.42, pv:-2.34, o:3.75, s:58.00
sp:-2.42, pv:-2.34, o:5.27, s:60.00
sp:-2.42, pv:-2.35, o:1.62, s:56.00
sp:-2.42, pv:-2.35, o:3.44, s:58.00
sp:-2.42, pv:-2.35, o:4.24, s:59.00
sp:-2.42, pv:-2.34, o:4.54, s:59.00
sp:-2.42, pv:-2.32, o:7.08, s:62.00
sp:-2.42, pv:-2.29, o:11.21, s:66.00
sp:-2.42, pv:-2.26, o:11.87, s:66.00
sp:-2.42, pv:-2.38, o:-13.39, s:68.00
sp:-2.42, pv:-2.38, o:2.15, s:57.00
sp:-2.42, pv:-2.45, o:-9.66, s:64.00
sp:-2.42, pv:-2.49, o:-7.27, s:62.00
sp:-2.42, pv:-2.43, o:6.39, s:61.00
sp:-2.42, pv:-2.41, o:3.61, s:58.00
sp:-2.42, pv:-2.38, o:6.52, s:61.00
sp:-2.42, pv:-2.38, o:2.49, s:57.00
sp:-2.42, pv:-2.24, o:27.29, s:81.00
sp:-2.42, pv:-2.24, o:9.86, s:64.00
sp:-2.42, pv:-2.22, o:12.94, s:67.00
sp:-2.42, pv:-2.20, o:15.28, s:70.00
sp:-2.43, pv:-2.20, o:11.15, s:66.00
sp:-2.43, pv:-2.26, o:2.13, s:57.00
sp:-2.43, pv:-2.26, o:9.51, s:64.00
sp:-2.43, pv:-2.33, o:-2.00, s:57.00
sp:-2.43, pv:-2.39, o:-4.68, s:59.00
sp:-2.43, pv:-2.36, o:7.83, s:62.00
sp:-2.43, pv:-2.32, o:11.38, s:66.00
sp:-2.43, pv:-2.29, o:12.95, s:67.00
sp:-2.43, pv:-2.26, o:13.58, s:68.00
sp:-2.43, pv:-2.26, o:10.29, s:65.00
sp:-2.44, pv:-2.22, o:17.35, s:72.00
sp:-2.44, pv:-2.21, o:14.72, s:69.00
sp:-2.44, pv:-2.19, o:16.45, s:71.00
sp:-2.44, pv:-2.26, o:3.75, s:58.00
sp:-2.44, pv:-2.31, o:2.15, s:57.00
sp:-2.44, pv:-2.31, o:8.95, s:63.00
sp:-2.44, pv:-2.37, o:-1.82, s:56.00
sp:-2.44, pv:-2.37, o:5.95, s:60.00
sp:-2.44, pv:-2.37, o:6.72, s:61.00
sp:-2.44, pv:-2.31, o:16.19, s:71.00
sp:-2.44, pv:-2.29, o:12.60, s:67.00
sp:-2.45, pv:-2.24, o:20.27, s:74.00
sp:-2.45, pv:-2.24, o:13.50, s:68.00
sp:-2.45, pv:-2.31, o:0.12, s:56.00
sp:-2.45, pv:-2.34, o:5.54, s:60.00
sp:-2.45, pv:-2.39, o:-0.22, s:56.00
sp:-2.45, pv:-2.41, o:3.21, s:58.00
sp:-2.45, pv:-2.38, o:9.19, s:64.00
sp:-2.45, pv:-2.34, o:14.07, s:69.00
sp:-2.45, pv:-2.34, o:8.84, s:63.00
sp:-2.45, pv:-2.33, o:11.42, s:66.00
sp:-2.45, pv:-2.30, o:13.93, s:68.00
sp:-2.46, pv:-2.31, o:9.82, s:64.00
sp:-2.46, pv:-2.36, o:3.02, s:58.00
sp:-2.46, pv:-2.39, o:2.51, s:57.00
sp:-2.46, pv:-2.41, o:3.41, s:58.00
sp:-2.46, pv:-2.41, o:5.95, s:60.00
sp:-2.46, pv:-2.42, o:3.51, s:58.00
sp:-2.46, pv:-2.40, o:9.82, s:64.00
sp:-2.46, pv:-2.38, o:9.14, s:64.00
sp:-2.46, pv:-2.38, o:7.87, s:62.00
sp:-2.46, pv:-2.39, o:5.59, s:60.00
sp:-2.46, pv:-2.39, o:7.04, s:62.00
sp:-2.46, pv:-2.43, o:0.57, s:56.00
sp:-2.46, pv:-2.43, o:5.22, s:60.00
sp:-2.46, pv:-2.46, o:0.20, s:56.00
sp:-2.46, pv:-2.46, o:3.75, s:58.00
sp:-2.46, pv:-2.46, o:3.76, s:58.00
sp:-2.46, pv:-2.46, o:3.06, s:58.00
sp:-2.46, pv:-2.46, o:3.56, s:58.00
sp:-2.46, pv:-2.49, o:-1.21, s:56.00
sp:-2.46, pv:-2.51, o:-0.46, s:56.00
sp:-2.46, pv:-2.52, o:-1.83, s:56.00
sp:-2.46, pv:-2.51, o:3.30, s:58.00
sp:-2.46, pv:-2.51, o:0.37, s:56.00
sp:-2.46, pv:-2.49, o:4.77, s:59.00
sp:-2.46, pv:-2.49, o:2.02, s:57.00
sp:-2.46, pv:-2.50, o:-0.49, s:56.00
sp:-2.46, pv:-2.50, o:1.74, s:56.00
sp:-2.46, pv:-2.50, o:1.12, s:56.00
sp:-2.46, pv:-2.51, o:0.72, s:56.00
sp:-2.46, pv:-2.51, o:0.59, s:56.00
sp:-2.46, pv:-2.51, o:0.91, s:56.00
sp:-2.46, pv:-2.56, o:-8.26, s:63.00
